round,val_loss,val_dice,val_iou
1,0.4444012157546664,0.5507348860351785,0.43111447703491135
2,0.35709058980918623,0.6091228361268646,0.4859765515744107
3,0.3238287923405471,0.6351210675193267,0.5095646229762476
4,0.2810222618209505,0.6660661258743805,0.547685273758416
5,0.2751398423632372,0.6850900814371202,0.5736188688324493
6,0.2480758442172726,0.7152926211218231,0.6106922404279986
7,0.22403035570406218,0.7333814651063346,0.6318090468934439
8,0.20546564724549507,0.7496618329899983,0.6562027145357966
9,0.18954717053950412,0.7808003042508097,0.6816174559222841
10,0.17053736919916948,0.7961979930840649,0.709127567578288
11,0.15601985377883448,0.8051231814819632,0.7191282186693359
12,0.1609745443879979,0.8186192035675048,0.7303974233784721
13,0.16725340212867099,0.8136337475869261,0.7234475934389725
14,0.167658234221264,0.8118299512029852,0.725346806905802
15,0.1456042307890156,0.8283646967804548,0.7480418900841649
16,0.1274541617090841,0.8599874849458343,0.7808599728982426
17,0.13743241263680087,0.8318490092036794,0.7503153726892564
18,0.13699704146790273,0.8392423630918114,0.7545110672422983
19,0.1461661792134197,0.8353351370802203,0.7497242844220504
20,0.13810261158109868,0.8410792821819343,0.7582453801793959
