epoch,train_loss,val_loss,val_dice,val_iou
1,0.5560547554492951,0.4463224388085879,0.4827979780160464,0.3529746945087726
2,0.4498507669568062,0.3819170387891623,0.5389799681993631,0.4085407532178439
3,0.42272539138793946,0.39848425067388094,0.5416319599518409,0.41532649443699765
4,0.4065713021159172,0.36825857712672305,0.53555261859527,0.4098622306035115
5,0.3873513270914555,0.3523638684016008,0.5915321295077984,0.4679500139676608
6,0.37986246213316915,0.33405117575938886,0.6091671379712912,0.482092742736523
7,0.36142929524183276,0.2946894822212366,0.6140429423405573,0.50846905203966
8,0.3455694259703159,0.2964675988142307,0.6552795538535485,0.536413121681947
9,0.3327230417728424,0.2899253528851729,0.6503238586279062,0.5418734412926894
10,0.31254723519086836,0.22312627388880804,0.7223674471561725,0.621407116834934
11,0.30075679570436475,0.2930788443638728,0.6750463659946735,0.5575061302918655
12,0.2929854176938534,0.371089185659702,0.6279083948868972,0.5046459459341489
13,0.26808704882860185,0.19696327126943147,0.7626594029940091,0.6592937386952914
14,0.2668774488568306,0.18616938591003418,0.7540134512461149,0.6577584651800302
15,0.2521255750209093,0.18943788913580087,0.746698782994197,0.6546060580473679
16,0.25290687799453737,0.20674890910203642,0.7760309852086581,0.6710696082848769
17,0.24467746824026107,0.19499803621035355,0.7759498953819275,0.6722003450760474
18,0.23549894891679288,0.17405833590489167,0.7792568940382737,0.6853254850094135
19,0.23330214291810988,0.15253173330655465,0.8105821930445157,0.7163168008510883
20,0.22685248874127864,0.15758367283986166,0.8178731478177584,0.725949186545152
21,0.22609880961477757,0.20568840836103147,0.7499831731502826,0.6519787724201496
22,0.22260430321097374,0.2071187668121778,0.7742512592902551,0.6722066402435303
23,0.22011129230260848,0.17046976662599123,0.8050164855443515,0.7102410059708816
24,0.20939203992486,0.16514559491322592,0.7596766627751864,0.6724258202772874
25,0.20908152587711812,0.1642662430038819,0.8024097864444439,0.7133576640715966
26,0.20407676011323928,0.16521767985362273,0.7880247968893784,0.697289242194249
27,0.20710254676640033,0.15644138191755003,0.7773866424193749,0.6918920186849741
28,0.1972764776647091,0.17257293542990318,0.8140874000696036,0.7249054954602168
29,0.20533735290169716,0.16130004995144331,0.822183526479281,0.7361501913804275
30,0.18898839622735977,0.14208829976045168,0.8113166460624108,0.7288776636123657
31,0.18626061536371707,0.13525810436560556,0.8018978696603042,0.7268351454001206
32,0.18901638828217984,0.15010535086576754,0.7820148284618671,0.6993634700775146
33,0.1827965036034584,0.1647650014895659,0.7708716438366816,0.6927364789522611
34,0.18312550269067288,0.1520861372924768,0.7974324593177209,0.711305897969466
35,0.17811361134052275,0.15184303029225424,0.820634323817033,0.7343860406142014
36,0.17172886200249196,0.14418651794011778,0.8247696436368502,0.7387639238284185
37,0.18184759378433227,0.14374797676618284,0.8277234159983121,0.7426628883068378
38,0.17095115948468448,0.1369516090131723,0.8390544607089117,0.7569546607824472
39,0.17693491019308566,0.13567565381526947,0.8430259227752686,0.7619555638386653
40,0.16055172506719828,0.13067066153654686,0.8205967912307153,0.7387248415213364
41,0.15911650978028774,0.1342696467271218,0.8246405170514033,0.7444348702063928
42,0.16701644357293843,0.14278938334721786,0.8371839018968436,0.7547314212872431
43,0.15471776645630597,0.11826436794721164,0.842414379119873,0.7626729378333459
44,0.15667350977659225,0.12061630533291744,0.8598939409622779,0.7812019907511197
45,0.15192422963678837,0.12113817494649154,0.8552513764454768,0.7778152364950913
46,0.1637106654420495,0.14203053311659739,0.8237281395838811,0.7457697850007278
47,0.1505719196051359,0.14242820900220138,0.8293009033569922,0.7483049906217135
48,0.14781052693724633,0.13348119190106025,0.8390034024532025,0.7517911470853366
49,0.14450937174260617,0.12392401609283227,0.8363847732543945,0.7538421887617844
50,0.14626680083572866,0.13136168110829133,0.8355137751652644,0.7495138232524579
